Date,Open,High,Low,Close,Adj Close,Volume
2012-07-13,67.790001,68.739998,67.730003,68.610001,50.222691,13238800
2012-07-16,68.470001,68.720001,68.360001,68.449997,50.105560,12921500
2012-07-17,67.839996,69.180000,67.610001,69.000000,50.508171,24201900
2012-07-18,68.739998,69.459999,68.660004,69.370003,50.778999,15616200
2012-07-19,69.250000,69.699997,68.980003,69.529999,50.896130,13499500
2012-07-20,69.349998,69.360001,68.349998,68.629997,50.237324,13964600
2012-07-23,68.139999,68.309998,67.650002,68.110001,49.856686,11771400
2012-07-24,68.099998,68.250000,67.000000,67.349998,49.300354,12145700
2012-07-25,67.669998,68.019997,67.389999,67.529999,49.432121,9882200
2012-07-26,68.300003,68.980003,68.209999,68.739998,50.317837,16477200
2012-07-27,68.949997,69.680000,68.889999,69.519997,50.888798,14015900
2012-07-30,69.370003,69.650002,69.160004,69.449997,50.837555,8379500
2012-07-31,69.250000,69.559998,69.099998,69.220001,50.669201,10313900
2012-08-01,69.480003,69.750000,69.250000,69.379997,50.786327,11681700
2012-08-02,68.809998,68.980003,68.019997,68.449997,50.105560,13536000
2012-08-03,68.980003,69.320000,68.889999,69.120003,50.596008,10898800
2012-08-06,69.180000,69.339996,68.779999,68.839996,50.391029,8723200
2012-08-07,68.809998,68.940002,68.209999,68.290001,49.988441,11268400
2012-08-08,68.290001,68.559998,68.220001,68.349998,50.032372,6573100
2012-08-09,68.330002,68.650002,68.169998,68.320000,50.010399,7764200
2012-08-10,68.120003,68.709999,68.120003,68.639999,50.244648,7645000
2012-08-13,68.389999,68.550003,68.169998,68.459999,50.112881,7199200
2012-08-14,68.739998,68.750000,68.500000,68.639999,50.244648,8217800
2012-08-15,68.510002,68.839996,68.300003,68.349998,50.032372,9349100
2012-08-16,68.440002,68.449997,68.019997,68.199997,49.922573,13518500
2012-08-17,68.120003,68.180000,67.510002,67.800003,49.629768,11999500
2012-08-20,67.800003,67.839996,67.669998,67.699997,49.556553,12645200
2012-08-21,67.690002,68.250000,67.620003,67.779999,49.615112,9544900
2012-08-22,67.629997,67.930000,67.529999,67.750000,49.593174,8230900
2012-08-23,67.800003,67.949997,67.559998,67.739998,49.585827,9062700
2012-08-24,67.220001,67.839996,67.150002,67.599998,49.933014,11297500
2012-08-27,67.540001,67.959999,67.480003,67.489998,49.851753,8761000
2012-08-28,67.309998,67.699997,67.220001,67.510002,49.866531,6750800
2012-08-29,67.279999,67.830002,67.059998,67.370003,49.763126,9609500
2012-08-30,67.230003,67.410004,66.849998,67.209999,49.644913,9672700
2012-08-31,67.449997,67.900002,67.160004,67.430000,49.807430,10151800
2012-09-04,67.489998,67.540001,66.970001,67.260002,49.681866,8402700
2012-09-05,67.440002,67.870003,67.139999,67.269997,49.689240,9266000
2012-09-06,67.709999,68.220001,67.589996,67.839996,50.110294,13075500
2012-09-07,67.970001,68.010002,67.519997,67.879997,50.139843,8403300
2012-09-10,67.989998,68.470001,67.830002,68.180000,50.361431,11441300
2012-09-11,68.360001,68.550003,68.180000,68.199997,50.376209,8821700
2012-09-12,68.370003,68.459999,68.029999,68.150002,50.339256,8230700
2012-09-13,68.010002,69.169998,68.000000,68.989998,50.959736,13006300
